ID,질문번호,질문,답번호,답,책,장절,말씀,핵심단어
C2-011,2,나는 어떻게 영적으로 자라날 수 있을까요?,1,성경을 점점 더 많이 배워가면서 영적으로 자라납니다.,히브리서,5:13-14,이는 젖을 먹는 자마다 어린 아이니 의의 말씀을 경험하지 못한 자요 단단한 음식은 장성한 자의 것이니 그들은 지각을 사용함으로 연단을 받아 선악을 분별하는 자들이니라,"젖,단단한 음식,지각"
C2-012,2,나는 어떻게 영적으로 자라날 수 있을까요?,2,목사님의 설교를 잘 들음으로써 영적으로 자라납니다.,디모데후서,1:13-14,너는 그리스도 예수 안에 있는 믿음과 사랑으로써 내게 들은 바 바른 말을 본받아 지키고 우리 안에 거하시는 성령으로 말미암아 네게 부탁한 아름다운 것을 지키라,"믿음,바른 말,성령"
C2-013,2,나는 어떻게 영적으로 자라날 수 있을까요?,3,하나님의 말씀을 암송함으로써 영적으로 자라납니다.,골로새서,3:16,그리스도의 말씀이 너희 속에 풍성히 거하여 모든 지혜로 피차 가르치며 권면하고 시와 찬송과 신령한 노래를 부르며 감사하는 마음으로 하나님을 찬양하고,"말씀,지혜,권면"
C2-014,2,나는 어떻게 영적으로 자라날 수 있을까요?,4,주 예수 그리스도와 우리의 관계를 상징적으로 보여주는 세례(침례)에 의해서 영적으로 자라납니다.,로마서,6:4-5,그러므로 우리가 그의 죽으심과 합하여 세례(침례)를 받음으로 그와 함께 장사되었나니 이는 아버지의 영광으로 말미암아 그리스도를 죽은 자 가운데서 살리심과 같이 우리로 또한 새 생명 가운데서 행하게 하려 함이라 만일 우리가 그의 죽으심과 같은 모양으로 연합한 자가 되었으면 또한 그의 부활과 같은 모양으로 연합한 자도 되리라,"세례,영광,새 생명"
C2-015,2,나는 어떻게 영적으로 자라날 수 있을까요?,5,매일 성경을 읽으면 영적으로 자라납니다.,여호수아,1:8,이 율법책을 네 입에서 떠나지 말게 하며 주야로 그것을 묵상하여 그 안에 기록된 대로 다 지켜 행하라 그리하면 네 길이 평탄하게 될 것이며 네가 형통하리라,"율법책,묵상,형통"
C2-016,2,나는 어떻게 영적으로 자라날 수 있을까요?,6,하나님께서 나에게 주신 은사들을 사용하여 영적으로 자라납니다.,고린도전서,12:12,몸은 하나인데 많은 지체가 있고 몸의 지체가 많으나 한 몸임과 같이 그리스도도 그러하니라,"몸,지체"
C2-017,2,나는 어떻게 영적으로 자라날 수 있을까요?,7,날마다 하나님과 대화를 나눔으로써 영적으로 자라납니다.,골로새서,4:2,기도를 계속하고 기도에 감사함으로 깨어 있으라,"기도,감사"
C2-018,2,나는 어떻게 영적으로 자라날 수 있을까요?,8,교회에서 다른 사람들을 도와 함께 일함으로써 영적으로 자라납니다.,고린도전서,12:25,몸 가운데서 분쟁이 없고 오직 여러 지체가 서로 같이 돌보게 하셨느니라,"분쟁,지체"
C2-019,2,나는 어떻게 영적으로 자라날 수 있을까요?,8,교회에서 다른 사람들을 도와 함께 일함으로써 영적으로 자라납니다.,시편,133:1,보라 형제가 연합하여 동거함이 어찌 그리 선하고 아름다운고,"형제,연합"
C2-020,3,어떤 사람이 좋은 친구일까요?,1,좋은 친구는 서로를 존중합니다.,로마서,12:10,형제를 사랑하여 서로 우애하고 존경하기를 서로 먼저 하며,"형제,우애,존경"
C2-021,3,어떤 사람이 좋은 친구일까요?,1,좋은 친구는 서로를 존중합니다.,베드로전서,2:17,뭇 사람을 공경하며 형제를 사랑하며 하나님을 두려워하며 왕을 존대하라,"공경,형제,왕"
C2-022,3,어떤 사람이 좋은 친구일까요?,2,좋은 친구는 서로를 진심으로 대합니다.,잠언,19:4,재물은 많은 친구를 더하게 하나 가난한즉 친구가 끊어지느니라,"재물,친구"
C2-023,3,어떤 사람이 좋은 친구일까요?,2,좋은 친구는 서로를 진심으로 대합니다.,잠언,20:6,많은 사람이 각기 자기의 인자함을 자랑하나니 충성된 자를 누가 만날 수 있으랴,"인자함,자랑,충성"
C2-024,3,어떤 사람이 좋은 친구일까요?,3,좋은 친구는 서로에게 정직하게 행동합니다.,잠언,12:19,진실한 입술은 영원히 보존되거니와 거짓 혀는 잠시 동안만 있을 뿐이니라,"입술,보존,거짓"
C2-025,3,어떤 사람이 좋은 친구일까요?,3,좋은 친구는 서로에게 정직하게 행동합니다.,잠언,19:22,사람은 자기의 인자함으로 남에게 사모함을 받느니라 가난한 자는 거짓말하는 자보다 나으니라,"인자함,사모함"
C2-026,3,어떤 사람이 좋은 친구일까요?,4,좋은 친구는 가진 것을 서로 나누며 이기적으로 행동하지 않습니다.,베드로전서,1:22,너희가 진리를 순종함으로 너희 영혼을 깨끗하게 하여 거짓이 없이 형제를 사랑하기에 이르렀으니 마음으로 뜨겁게 서로 사랑하라,"진리,영혼,뜨겁게"
C2-027,3,어떤 사람이 좋은 친구일까요?,5,좋은 친구는 다른 사람들을 용서합니다.,베드로전서,3:8-9,마지막으로 말하노니 너희가 다 마음을 같이하여 동정하며 형제를 사랑하며 불쌍히 여기며 겸손하며 악을 악으로 욕을 욕으로 갚지 말고 도리어 복을 빌라 이를 위하여 너희가 부르심을 받았으니 이는 복을 이어받게 하려 하심이라,"마음,동정,겸손"
C2-028,3,어떤 사람이 좋은 친구일까요?,6,좋은 친구는 서로를 위하여 기도합니다.,데살로니가후서,1:11,이러므로 우리도 항상 너희를 위하여 기도함은 우리 하나님이 너희를 그 부르심에 합당한 자로 여기시고 모든 선을 기뻐함과 믿음의 역사를 능력으로 이루게 하시고,"기도,부르심,합당"
C2-029,3,어떤 사람이 좋은 친구일까요?,7,좋은 친구는 서로를 격려하고 용기를 줍니다.,에베소서,4:29,무릇 더러운 말은 너희 입 밖에도 내지 말고 오직 덕을 세우는 데 소용되는 대로 선한 말을 하여 듣는 자들에게 은혜를 끼치게 하라,"더러운 말,덕,은혜"
C2-030,3,어떤 사람이 좋은 친구일까요?,7,좋은 친구는 서로를 격려하고 용기를 줍니다.,로마서,15:2,우리 각 사람이 이웃을 기쁘게 하되 선을 이루고 덕을 세우도록 할지니라,"이웃,선,덕"
C2-031,3,어떤 사람이 좋은 친구일까요?,8,좋은 친구는 구원 받지 못한 친구들에게 예수 그리스도를 전합니다.,로마서,1:16,내가 복음을 부끄러워하지 아니하노니 이 복음은 모든 믿는 자에게 구원을 주시는 하나님의 능력이 됨이라 먼저는 유대인에게요 그리고 헬라인에게로다,"복음,구원,유대인"
C2-032,4,장래에 대해 하나님은 우리에게 무엇을 말씀해 주시나요?,1,지옥은 영원한 형벌을 받는 곳입니다.,요한계시록,20:15,누구든지 생명책에 기록되지 못한 자는 불못에 던져지더라,"생명책,불못"
C2-033,4,장래에 대해 하나님은 우리에게 무엇을 말씀해 주시나요?,2,천국은 영생이라는 주님의 상급이 있는 곳입니다.,빌립보서,3:20,그러나 우리의 시민권은 하늘에 있는지라 거기로부터 구원하는 자 곧 주 예수 그리스도를 기다리노니,"시민권,구원"
C2-034,4,장래에 대해 하나님은 우리에게 무엇을 말씀해 주시나요?,3,천국은 완전하고 기쁨이 넘치는 곳입니다.,요한계시록,7:16,그들이 다시는 주리지도 아니하며 목마르지도 아니하고 해나 아무 뜨거운 기운에 상하지도 아니하리니,"주리지,목마르지"
C2-035,4,장래에 대해 하나님은 우리에게 무엇을 말씀해 주시나요?,4,천국에서 우리는 새로운 몸을 입게 됩니다.,고린도전서,15:51-52,보라 내가 너희에게 비밀을 말하노니 우리가 다 잠 잘 것이 아니요 마지막 나팔에 순식간에 홀연히 다 변화되리니 나팔 소리가 나매 죽은 자들이 썩지 아니할 것으로 다시 살아나고 우리도 변화되리라,"비밀,나팔,홀연히"
C2-036,4,장래에 대해 하나님은 우리에게 무엇을 말씀해 주시나요?,5,하나님은 커다란 백보좌 심판대 앞에서 믿지 않는 사람들을 심판하실 것입니다.,요한계시록,20:11,또 내가 크고 흰 보좌와 그 위에 앉으신 이를 보니 땅과 하늘이 그 앞에서 피하여 간 데 없더라,"보좌,땅,하늘"
C2-037,4,장래에 대해 하나님은 우리에게 무엇을 말씀해 주시나요?,6,믿는 사람들은 예수 그리스도를 신실하게 섬김으로 그에 합당한 상을 받을 것입니다.,고린도전서,9:25,이기기를 다투는 자마다 모든 일에 절제하나니 그들은 썩을 승리자의 관을 얻고자 하되 우리는 썩지 아니할 것을 얻고자 하노라,"절제,관"
C2-038,4,장래에 대해 하나님은 우리에게 무엇을 말씀해 주시나요?,7,하나님은 장래 모든 일을 다 알고 계십니다.,잠언,3:5-6,너는 마음을 다하여 여호와를 신뢰하고 네 명철을 의지하지 말라 너는 범사에 그를 인정하라 그리하면 네 길을 지도하시리라,"신뢰,명철,인정"
C2-039,4,장래에 대해 하나님은 우리에게 무엇을 말씀해 주시나요?,8,하나님은 나의 미래를 위한 계획을 가지고 계십니다.,디모데후서,3:15,또 어려서부터 성경을 알았나니 성경은 능히 너로 하여금 그리스도 예수 안에 있는 믿음으로 말미암아 구원에 이르는 지혜가 있게 하느니라,"성경,믿음,구원"
