ID,질문번호,질문,답번호,답,책,장절,말씀,핵심단어
C1-011,1,성경이 참되다는 사실을 어떻게 알 수 있을까요?,8,성경은 사람들의 삶을 변화시키기 때문입니다.,사도행전,16:29-31,간수가 등불을 달라고 하며 뛰어 들어가 무서워 떨며 바울과 실라 앞에 엎드리고 그들을 데리고 나가 이르되 선생들이여 내가 어떻게 하여야 구원을 받으리이까 하거늘 이르되 주 예수를 믿으라 그리하면 너와 네 집이 구원을 받으리라 하고,"예수,구원"
C1-012,2,내가 하나님에 대하여 무엇을 알아야 될까요?,1,하나님은 나에게 최고의 선물을 주셨습니다.,에베소서,2:8-9,너희는 그 은혜에 의하여 믿음으로 말미암아 구원을 받았으니 이것은 너희에게서 난 것이 아니요 하나님의 선물이라 행위에서 난 것이 아니니 이는 누구든지 자랑하지 못하게 함이라,"은혜,믿음,선물"
C1-013,2,내가 하나님에 대하여 무엇을 알아야 될까요?,2,하나님은 내가 그분을 영화롭게 하기를 원하십니다.,출애굽기,20:3-4,너는 나 외에는 다른 신들을 네게 두지 말라 너를 위하여 새긴 우상을 만들지 말고 또 위로 하늘에 있는 것이나 아래로 땅에 있는 것이나 땅 아래 물 속에 있는 것의 어떤 형상도 만들지 말며,"신들,우상"
C1-014,2,내가 하나님에 대하여 무엇을 알아야 될까요?,2,하나님은 내가 그분을 영화롭게 하기를 원하십니다.,출애굽기,20:5a,그것들에게 절하지 말며 그것들을 섬기지 말라,"절하지,섬기지"
C1-015,2,내가 하나님에 대하여 무엇을 알아야 될까요?,2,하나님은 내가 그분을 영화롭게 하기를 원하십니다.,출애굽기,"20:7a, 8",너는 네 하나님 여호와의 이름을 망령되게 부르지 말라 안식일을 기억하여 거룩하게 지키라,"여호와,안식일"
C1-016,2,내가 하나님에 대하여 무엇을 알아야 될까요?,3,하나님은 내가 우리 가족과 이웃을 존중하기를 원하십니다.,출애굽기,20:12-15,네 부모를 공경하라 그리하면 네 하나님 여호와가 네게 준 땅에서 네 생명이 길리라 살인하지 말라 간음하지 말라 도둑질하지 말라,"부모,생명"
C1-017,2,내가 하나님에 대하여 무엇을 알아야 될까요?,3,하나님은 내가 우리 가족과 이웃을 존중하기를 원하십니다.,출애굽기,20:16-17,네 이웃에 대하여 거짓 증거하지 말라 네 이웃의 집을 탐내지 말라 네 이웃의 아내나 그의 남종이나 그의 여종이나 그의 소나 그의 나귀나 무릇 네 이웃의 소유를 탐내지 말라,"이웃,거짓"
C1-018,2,내가 하나님에 대하여 무엇을 알아야 될까요?,4,하나님은 자비로우신 분이십니다.,디도서,3:5,우리를 구원하시되 우리가 행한 바 의로운 행위로 말미암지 아니하고 오직 그의 긍휼하심을 따라 중생의 씻음과 성령의 새롭게 하심으로 하셨나니,"긍휼하심,성령"
C1-019,2,내가 하나님에 대하여 무엇을 알아야 될까요?,5,하나님은 신실하신 분이십니다.,고린도전서,1:9,너희를 불러 그의 아들 예수 그리스도 우리 주와 더불어 교제하게 하시는 하나님은 미쁘시도다,"아들,교제"
C1-020,2,내가 하나님에 대하여 무엇을 알아야 될까요?,6,하나님은 이 세상을 사랑하십니다.,요한복음,5:24,내가 진실로 진실로 너희에게 이르노니 내 말을 듣고 또 나 보내신 이를 믿는 자는 영생을 얻었고 심판에 이르지 아니하나니 사망에서 생명으로 옮겼느니라,"영생,심판,생명"
C1-021,2,내가 하나님에 대하여 무엇을 알아야 될까요?,7,하나님은 나에 대한 모든 권위를 가지고 계십니다.,마태복음,28:18,예수께서 나아와 말씀하여 이르시되 하늘과 땅의 모든 권세를 내게 주셨으니,"하늘,권세"
C1-022,2,내가 하나님에 대하여 무엇을 알아야 될까요?,8,하나님은 나를 돌보고 계십니다.,누가복음,12:6-7,참새 다섯 마리가 두 앗사리온에 팔리는 것이 아니냐 그러나 하나님 앞에는 그 하나도 잊어버리시는 바 되지 아니하는도다 너희에게는 심지어 머리털까지도 다 세신 바 되었나니 두려워하지 말라 너희는 많은 참새보다 더 귀하니라,"참새,머리털"
C1-023,3,내가 주 예수 그리스도에 대하여 무엇을 알아야 될까요?,1,예수님은 인간이 되심으로 하나님이 계획하신 일들을 다 이루셨습니다.,마태복음,1:21,아들을 낳으리니 이름을 예수라 하라 이는 그가 자기 백성을 그들의 죄에서 구원할 자이심이라 하니라,"예수,백성"
C1-024,3,내가 주 예수 그리스도에 대하여 무엇을 알아야 될까요?,2,주 예수 그리스도로 말미암아 내가 사랑받고 있습니다.,로마서,5:8,우리가 아직 죄인 되었을 때에 그리스도께서 우리를 위하여 죽으심으로 하나님께서 우리에 대한 자기의 사랑을 확증하셨느니라,"죄인,사랑"
C1-025,3,내가 주 예수 그리스도에 대하여 무엇을 알아야 될까요?,3,오직 주 예수 그리스도의 죽음과 부활로 말미암아 내가 구원을 받을 수 있습니다.,로마서,4:5,일을 아니할지라도 경건하지 아니한 자를 의롭다 하시는 이를 믿는 자에게는 그의 믿음을 의로 여기시나니,"믿음,의로"
C1-026,3,내가 주 예수 그리스도에 대하여 무엇을 알아야 될까요?,4,주 예수 그리스도로 말미암아 내가 용서받았습니다.,에베소서,1:7,우리는 그리스도 안에서 그의 은혜의 풍성함을 따라 그의 피로 말미암아 속량 곧 죄 사함을 받았느니라,"은혜,피,속량"
C1-027,3,내가 주 예수 그리스도에 대하여 무엇을 알아야 될까요?,4,주 예수 그리스도로 말미암아 내가 용서받았습니다.,요한1서,1:9,만일 우리가 우리 죄를 자백하면 그는 미쁘시고 의로우사 우리 죄를 사하시며 우리를 모든 불의에서 깨끗하게 하실 것이요,"죄,불의"
C1-028,3,내가 주 예수 그리스도에 대하여 무엇을 알아야 될까요?,5,주 예수 그리스도로 말미암아 내가 의로운 사람이 되었습니다.,디도서,3:7,우리로 그의 은혜를 힘입어 의롭다 하심을 얻어 영생의 소망을 따라 상속자가 되게 하려 하심이라,"은혜,영생,상속자"
C1-029,3,내가 주 예수 그리스도에 대하여 무엇을 알아야 될까요?,5,주 예수 그리스도로 말미암아 내가 의로운 사람이 되었습니다.,로마서,3:24,그리스도 예수 안에 있는 속량으로 말미암아 하나님의 은혜로 값 없이 의롭다 하심을 얻은 자 되었느니라,"속량,은혜"
C1-030,3,내가 주 예수 그리스도에 대하여 무엇을 알아야 될까요?,6,"주 예수 그리스도로 말미암아 내가 구속, 곧 죄사함을 받았습니다.",베드로전서,1:18-19,너희가 알거니와 너희 조상이 물려 준 헛된 행실에서 대속함을 받은 것은 은이나 금 같이 없어질 것으로 된 것이 아니요 오직 흠 없고 점 없는 어린 양 같은 그리스도의 보배로운 피로 된 것이니라,"어린 양,피"
C1-031,3,내가 주 예수 그리스도에 대하여 무엇을 알아야 될까요?,7,주 예수 그리스도로 말미암아 내가 평화를 누릴 수 있습니다.,골로새서,1:20,그의 십자가의 피로 화평을 이루사 만물 곧 땅에 있는 것들이나 하늘에 있는 것들이 그로 말미암아 자기와 화목하게 되기를 기뻐하심이라,"십자가,화평"
C1-032,3,내가 주 예수 그리스도에 대하여 무엇을 알아야 될까요?,7,주 예수 그리스도로 말미암아 내가 평화를 누릴 수 있습니다.,빌립보서,4:7,그리하면 모든 지각에 뛰어난 하나님의 평강이 그리스도 예수 안에서 너희 마음과 생각을 지키시리라,"평강,마음"
C1-033,3,내가 주 예수 그리스도에 대하여 무엇을 알아야 될까요?,8,주 예수 그리스도는 내가 따라야 할 본보기이십니다.,베드로전서,2:21,이를 위하여 너희가 부르심을 받았으니 그리스도도 너희를 위하여 고난을 받으사 너희에게 본을 끼쳐 그 자취를 따라오게 하려 하셨느니라,"고난,본"
C1-034,4,내가 성령님에 대하여 무엇을 알아야 될까요?,1,나는 성령으로 세례(침례)를 받아야 합니다.,골로새서,2:12,너희가 세례로 그리스도와 함께 장사되고 또 죽은 자들 가운데서 그를 일으키신 하나님의 역사를 믿음으로 말미암아 그 안에서 함께 일으키심을 받았느니라,"세례,믿음"
C1-035,4,내가 성령님에 대하여 무엇을 알아야 될까요?,2,성령으로 충만해진다는 것의 의미를 올바로 알아야 합니다.,갈라디아서,5:16,내가 이르노니 너희는 성령을 따라 행하라 그리하면 육체의 욕심을 이루지 아니하리라,"성령,육체"
C1-036,4,내가 성령님에 대하여 무엇을 알아야 될까요?,3,성령님은 내가 기도할 수 있도록 도우십니다.,로마서,8:26,이와 같이 성령도 우리의 연약함을 도우시나니 우리는 마땅히 기도할 바를 알지 못하나 오직 성령이 말할 수 없는 탄식으로 우리를 위하여 친히 간구하시느니라,"성령,탄식"
C1-037,4,내가 성령님에 대하여 무엇을 알아야 될까요?,4,나는 성령으로 인치심을 받았습니다.,에베소서,4:30,하나님의 성령을 근심하게 하지 말라 그 안에서 너희가 구원의 날까지 인치심을 받았느니라,"성령,구원"
C1-038,4,내가 성령님에 대하여 무엇을 알아야 될까요?,5,성령님은 나의 구원을 보증(증거)하십니다.,에베소서,1:14,이는 우리 기업의 보증이 되사 그 얻으신 것을 속량하시고 그의 영광을 찬송하게 하려 하심이라,"보증,영광"
C1-039,4,내가 성령님에 대하여 무엇을 알아야 될까요?,6,"성령님의 열매는 사랑, 희락, 화평입니다.",갈라디아서,5:22-23,오직 성령의 열매는 사랑과 희락과 화평과 오래 참음과 자비와 양선과 충성과 온유와 절제니 이같은 것을 금지할 법이 없느니라,"사랑,희락,화평,절제"
C1-040,4,내가 성령님에 대하여 무엇을 알아야 될까요?,7,"성령의 열매는 오래 참음, 자비, 양선입니다.",에베소서,4:1-3,그러므로 주 안에서 갇힌 내가 너희를 권하노니 너희가 부르심을 받은 일에 합당하게 행하여 모든 겸손과 온유로 하고 오래 참음으로 사랑 가운데서 서로 용납하고 평안의 매는 줄로 성령이 하나 되게 하신 것을 힘써 지키라,"겸손,온유,오래 참음"
C1-041,4,내가 성령님에 대하여 무엇을 알아야 될까요?,8,"성령의 열매는 충성, 온유, 절제입니다.",베드로후서,1:5-7,"그러므로 너희가 더욱 힘써 너희 믿음에 덕을, 덕에 지식을 지식에 절제를, 절제에 인내를, 인내에 경건을, 경건에 형제 우애를, 형제 우애에 사랑을 더하라","믿음,덕,지식,절제,인내,경건,사랑"
