ID,질문번호,질문,답번호,답,책,장절,말씀,핵심단어
A1-024,3,주 예수님은 누구신가요?,7,주 예수님은 우리 죄를 위해 죽으셨습니다. 그분은 우리의 구세주이십니다.,베드로전서,2:24,친히 나무에 달려 그 몸으로 우리 죄를 담당하셨으니 이는 우리로 죄에 대하여 죽고 의에 대하여 살게 하려 하심이라 그가 채찍에 맞음으로 너희는 나음을 얻었나니,"나무,죄,의"
A1-025,3,주 예수님은 누구신가요?,8,주 예수님은 죽음에서 부활하셨습니다.,마태복음,28:6,그가 여기 계시지 않고 그가 말씀 하시던 대로 살아나셨느니라 와서 그가 누우셨던 곳을 보라,"말씀,살아나셨느니라"
A1-026,4,하나님은 내가 어떻게 살기를 바라시나요?,1,하나님은 내가 하나님을 닮은 자가 되게 하시려고 나를 창조하셨다는 사실을 알기 원하십니다.,창세기,1:27,하나님이 자기 형상 곧 하나님의 형상대로 사람을 창조하시되 남자와 여자를 창조하시고,"형상,창조"
A1-027,4,하나님은 내가 어떻게 살기를 바라시나요?,2,하나님은 내가 그분을 신뢰할 때 나에게 새 생명을 주실 것이라는 사실을 알기 원하십니다.,고린도후서,5:17,그런즉 누구든지 그리스도 안에 있으면 새로운 피조물이라 이전 것은 지나갔으니 보라 새 것이 되었도다,"그리스도,새로운 피조물"
A1-028,4,하나님은 내가 어떻게 살기를 바라시나요?,3,하나님은 내가 주님 안에서 안전하기를 바라십니다.,요한복음,10:28-29,내가 그들에게 영생을 주노니 영원히 멸망하지 아니할 것이요 또 그들을 내 손에서 빼앗을 자가 없느니라 그들을 주신 내 아버지는 만물보다 크시매 아무도 아버지 손에서 빼앗을 수 없느니라,"영생,멸망,만물"
A1-029,4,하나님은 내가 어떻게 살기를 바라시나요?,4,하나님은 내가 하나님과 대화하기를 원하십니다.,데살로니가전서,5:17-18,쉬지 말고 기도하라 범사에 감사하라 이것이 그리스도 예수 안에서 너희를 향하신 하나님의 뜻이니라,"기도,범사,뜻"
A1-030,4,하나님은 내가 어떻게 살기를 바라시나요?,5,하나님은 내가 그분의 말씀을 읽고 공부하기를 원하십니다.,시편,119:105,주의 말씀은 내 발에 등이요 내 길에 빛이니이다,"말씀,등,빛"
A1-031,4,하나님은 내가 어떻게 살기를 바라시나요?,6,하나님은 내가 그분의 말씀을 암송하기를 바라십니다.,시편,119:11,내가 주께 범죄하지 아니하려 하여 주의 말씀을 내 마음에 두었나이다,"범죄,말씀,마음"
A1-032,4,하나님은 내가 어떻게 살기를 바라시나요?,7,하나님은 내가 다른 사람들을 섬기기 원하십니다.,에베소서,4:32,서로 친절하게 하며 불쌍히 여기며 서로 용서하기를 하나님이 그리스도 안에서 너희를 용서하심과 같이 하라,"친절,용서"
A1-033,4,하나님은 내가 어떻게 살기를 바라시나요?,8,하나님은 내가 다른 사람들에게 하나님에 대해 이야기하기를 원하십니다.,마가복음,16:15,또 이르시되 너희는 온 천하에 다니며 만민에게 복음을 전파하라,"만민,복음"
